nodenumber,sound-pressure,sound-intensity,rms_spldb,rms_sildb
15942,337.1379143733076,657.1636899487767,144.5355520031854,148.17673559494426
15943,346.95275922692963,562.6479037842985,144.78480700018918,147.5023670519057
15944,337.19539773186983,660.936657367546,144.53703285575708,148.2015983970664
15945,341.5178248564705,518.9888036867253,144.64766760196352,147.15157988774234
15946,400.11131431161056,4308.927611374198,146.0230167365759,156.34369198139237
15947,337.27327525098184,657.0301092048694,144.53903868810005,148.1758527208932
15948,373.57649263744315,662.2915933980336,145.4269908940356,148.2104924249364
15949,412.26190890534104,950.0772503651306,146.28286428376947,149.77758919018657
15950,334.1478214773421,515.2691847249824,144.45817276724765,147.1203417059213
15951,400.0716682523056,4070.3480894889444,146.02215603020375,156.09631550964784
15952,337.37677554826575,648.7939362427098,144.54170375027772,148.12106782219382
15953,400.0656739643442,3854.9401917577984,146.022025888237,155.86017644490465
15954,337.5102404057142,638.3100634578468,144.54513917283012,148.0503169147627
15955,333.7212652691008,501.81388555306347,144.4470777166561,147.00542674387202
15956,332.01729413654215,501.07368580492636,144.40261420372013,146.99901596097519
15957,400.0848574982177,3677.214260900658,146.02244237501435,155.65518935720328
15958,336.53410521608123,507.403896539554,144.5199817525173,147.05353798004217
15959,337.68028130763076,626.2820077086117,144.54951410550981,147.96769935148365
15960,400.1149337230518,3527.9164282839297,146.0230953088757,155.47518288714596
15961,400.1506953203413,3394.7584103081854,146.0238716043363,155.3080887293071
15962,400.1896100081451,3266.3488449087154,146.02471626674196,155.14062565375684
15963,403.85875307675644,787.8208080341032,146.10399008768437,148.9642744727161
15964,337.89621948266125,613.1178780199857,144.55506674157292,147.87543979986677
15965,400.2304250110624,3132.582652692657,146.025602088175,154.95902538607857
15966,400.2747178570315,2984.138711373527,146.02656328817642,154.74819006529845
15967,400.321391235384,2806.345784396382,146.02757603307805,154.48141181661387
15968,400.3646067430503,2539.861448241807,146.02851364190735,154.04810026106065
15969,400.39673924074305,1999.3811420264096,146.02921072682614,153.0089559156714
