nodenumber,sound-pressure,sound-intensity,rms_spldb,rms_sildb
21801,1593.013424633041,0.0,158.02378880072774,-inf
21802,1089.376550392069,39612.3102256301,154.7229605374998,165.97830171588473
21803,1598.1850095847385,35364.161459103554,158.05194114311212,165.48563364722955
21804,1069.2238668905381,6853.927106302035,154.56077297436576,158.3593948125826
21805,1100.160696590326,18178.510642736223,154.8085225997981,162.59558298790384
21806,468.349319293787,5061.021717631517,147.3907979538435,157.0423820093797
21807,1144.469953099864,6505.55195763901,155.1514879906848,158.13284149781157
21808,895.1215177859424,14527.382381312778,153.01704003150806,161.62187367927461
21809,847.4385104875528,3262.6907547244623,152.54156400534941,155.13575912316435
21810,486.3905430037492,5433.632329302792,147.71910253202978,157.35090248222988
21811,2954.1621031379236,106474.73692925081,163.38808653837663,170.27246575720983
21812,1610.4780486795137,50550.01064172641,158.11849627924371,167.0372125135417
21813,440.1036742112094,0.0,146.85049997254382,-inf
21814,812.3222465470536,3050.810806533446,152.1739670295392,154.84415276070396
21815,661.338522926124,8654.138409748086,150.38787650804525,159.37223836796278
21816,1161.4424854280787,19557.099437505498,155.2793542552885,162.91304443923173
21817,3160.2016636051117,106968.84755656177,163.9736960340024,170.29257316898668
21818,1085.8342331879014,15526.649335135493,154.69467067820918,161.91077744700604
21819,1094.1927500702457,12741.810121183942,154.76127674455472,161.0523112892555
21820,832.5229810697981,3457.6666349323236,152.3873246999944,155.38783119189952
21821,1027.423490715638,34567.70003999838,154.21438990844334,165.3867048474443
21822,1616.4043651935906,62584.19006130617,158.1504003789122,167.96464636144577
21823,878.8944616035311,4055.0633572864663,152.85813464177846,156.07997644121758
21824,5894.0682677489895,203184.51652617077,169.3877033214606,173.07890609894113
21825,3236.6060768298676,117044.18014197842,164.18119699062265,170.68349823884313
21826,880.6977105130105,13288.370955373995,152.87593743352662,161.2347174328615
21827,1141.81117152834,5574.6260675560325,155.1312858436575,157.46215741272937
21828,948.6044647051488,4898.942339587055,153.5211033741727,156.90102327852628
21829,1076.9105393434068,17313.178738267285,154.62299263210022,162.38376812632697
21830,1555.0786341876774,22736.586984713176,157.8144471762329,163.56725272798877
21831,1103.4560493756237,9570.76952711456,154.83450088481584,159.80946858147126
21832,551.1720823479014,7274.88999682968,148.8051443231548,158.61826430767078
21833,1026.2793771714466,6378.043969399114,154.2047121257789,158.04687508886494
21834,1034.387192981879,30875.94670979381,154.27306278256364,164.8962028268994
21835,2627.737737308033,117598.86400375966,162.37104044813105,170.7040312650813
21836,1133.5675280451162,5757.074262538945,155.0683480207673,157.6020183160953
21837,4775.5819028975075,124696.86890725898,167.55992604205815,170.95855548639958
21838,1874.8739269730925,46917.612791287305,159.4388414782805,166.71335906726824
21839,1469.2039235753093,30678.559898033393,157.3210416762763,164.86834969259456
21840,1577.6815410888523,20222.90102239821,157.93978697286417,163.05843456282054
