nodenumber,sound-pressure,rms_spldb
565,456.0510430959701,147.15966915467226
566,459.04638891618157,147.21653159408152
567,461.9113844893458,147.27057341088806
568,464.74905176081353,147.32377033357795
569,616.9204874244542,149.7839839476754
570,467.7091233566071,147.37891691763735
571,470.77921853544285,147.43574576001322
572,791.9289805601101,151.95312481109076
573,474.0591167869956,147.4960501477755
574,813.6949554287925,152.18863255788668
575,633.5740670118242,150.01534794117248
576,477.6498520305478,147.56159303758534
577,638.7215679551737,150.08563171458553
578,481.7667297402866,147.63613618306724
579,532.4899160210024,148.50562784225414
580,715.6658807499599,151.07360634254786
581,486.7373221095981,147.72529305493572
582,492.68497354172433,147.83078642426534
583,500.4191340783379,147.966078228082
584,668.6553378603644,150.48344640510555
585,510.4021604009538,148.13765016619516
586,822.7802565721781,152.28507732314318
587,651.9377311860151,150.2635224217958
588,523.8443146621016,148.36344478328712
589,679.3077272921383,150.62073118322354
590,542.1167307188485,148.66125629898974
591,703.4641995831735,150.92424009458486
592,567.2133572983474,149.05432907650624
593,602.5089193663241,149.5786696959873
594,638.5428180615316,150.08320057836013
595,704.1148276914631,150.9322698879208
596,650.9464417632977,150.25030523432005
597,747.765015125298,151.45470293524662
598,805.1317464807524,152.09673911241455
599,560.9502203870036,148.9578865464083
600,666.5825016614535,150.4564782644612
601,717.2593133500319,151.09292400891565
602,801.0124568793323,152.05218548735365
603,771.8408072813306,151.72995480720414
604,894.8893394148223,153.01478677621512
605,976.4538234272171,153.77243429255313
606,781.3314168222176,151.83610583384146
607,572.3597614669499,149.132781966982
608,1021.6520187618884,154.16546003662975
609,754.9883845607877,151.53820548857675
610,889.2844060578713,152.9602136239727
611,649.7846654580252,150.23478924735076
612,1016.0524257112978,154.1177224269722
613,657.8164782560661,150.34149505329694
614,616.1440996226712,149.77304596482415
615,965.216147374304,153.67189166137865
616,739.1347260884306,151.35387222305832
617,771.9750500374164,151.7314653730679
618,678.3692548021306,150.6087232168481
619,892.4578999107281,152.9911548509158
620,526.4197355865449,148.40604334077096
621,820.237818944264,152.25819587782854
622,771.1481916133527,151.7221569762902
623,774.3101629249404,151.7576992762079
624,772.5251950281087,151.73765313366096
625,760.6840934469524,151.60348678436074
626,743.0648859248422,151.3999348644548
627,831.052492888021,152.37196921827748
628,665.6355182832934,150.44412984344598
629,412.6488482487246,146.291012832326
630,720.8900198349124,151.136780348596
631,412.4900540271036,146.28766971252549
632,412.1418430665225,146.28033426463705
633,411.7612239137413,146.27230900942715
634,631.7991684255096,149.99098108573673
635,411.41645771561093,146.26503329875172
636,411.24508014485554,146.2614143944538
637,516.945839141989,148.24830096817664
638,411.42791836473873,146.26527525442745
639,412.0657858368138,146.27873121054697
640,413.12592943609604,146.30104916454377
641,414.5122289828408,146.33014704024473
642,416.14984733934523,146.36439487976344
643,703.4287052039915,150.92380182347074
644,867.3743994648454,152.74353208292854
645,663.7145102645563,150.41902633436135
646,417.98585079579425,146.40263170187112
647,710.957023995126,151.01626707161475
648,419.86978546526274,146.4416925507657
649,690.6533899224875,150.7646030425896
650,421.69387836397664,146.47934601680933
651,423.54016433487925,146.51729210245932
652,425.4621640028608,146.5566189805194
653,984.8746054879937,153.847018877154
654,701.5315284304615,150.90034396651484
655,427.45687620106264,146.5972462400468
656,429.5466110704568,146.6396060266594
657,431.77621450666527,146.68457437549313
658,434.2132364812403,146.73346125228247
659,847.9262211417671,152.54656139730366
660,720.4350120162509,151.13129630059672
661,436.9452901625013,146.7879413356037
662,439.99801891033763,146.84841450834205
663,690.6862737193154,150.76501659044854
