nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,      co_ppm_dry,      no_ppm_dry,          o2_dry,         co2_dry,velocity-magnitude,      x-velocity,      y-velocity,      z-velocity
      2790,-4.172939344E-02, 5.716376088E-01,-4.172939343E-02, 3.840530598E+03, 2.716049385E+03, 6.784966653E+00, 1.224140122E+01, 1.122812627E+01,-9.223411265E+00,-5.767541934E+00,-2.225508683E+00
      2791,-4.311835369E-02, 5.803362764E-01,-4.311835373E-02, 3.616522989E+03, 2.494407029E+03, 5.995113738E+00, 1.307830783E+01, 1.109562505E+01,-8.748928487E+00,-6.607219936E+00,-1.327752671E+00
      2792,-4.172939344E-02, 5.803362591E-01,-4.172939343E-02, 3.831498683E+03, 2.571605751E+03, 6.031502867E+00, 1.299817962E+01, 1.115416025E+01,-8.779159612E+00,-6.667692831E+00,-1.016684973E+00
      2793,-4.311835369E-02, 5.897697174E-01,-4.311835373E-02, 3.287300279E+03, 2.306632500E+03, 5.677239514E+00, 1.337673239E+01, 1.056697490E+01,-7.878818054E+00,-6.964082820E+00,-7.158855604E-01
      2794,-4.172939344E-02, 5.897696999E-01,-4.172939343E-02, 3.495152530E+03, 2.375260686E+03, 5.679018061E+00, 1.333885705E+01, 1.066413993E+01,-7.942117763E+00,-7.024037454E+00,-4.582210285E-01
      2795,-3.901781670E-02, 5.562202001E-01,-3.901781642E-02, 2.832180935E+03, 2.568901280E+03, 9.577182780E+00, 9.639443004E+00, 1.064550239E+01,-9.239960477E+00,-2.750883329E+00,-4.217939690E+00
      2796,-3.901781670E-02, 5.494000000E-01,-3.901781642E-02, 1.975332828E+03, 2.224430505E+03, 1.089314260E+01, 8.540689742E+00, 1.047295524E+01,-9.088654597E+00,-1.384689251E+00,-4.835488878E+00
      2797,-3.901781670E-02, 5.636165146E-01,-3.901781642E-02, 3.678972030E+03, 2.819656750E+03, 8.195368965E+00, 1.083630127E+01, 1.078013610E+01,-9.233902060E+00,-4.234108772E+00,-3.180483938E+00
      2798,-3.901781670E-02, 5.716376088E-01,-3.901781642E-02, 4.263355518E+03, 2.886091504E+03, 6.987290844E+00, 1.194301685E+01, 1.092889423E+01,-9.087297076E+00,-5.553613622E+00,-1.868567282E+00
      2799,-3.901781670E-02, 5.803362591E-01,-3.901781642E-02, 4.366575620E+03, 2.766049017E+03, 6.149289225E+00, 1.276487594E+01, 1.095447151E+01,-8.705138670E+00,-6.475166091E+00,-7.734851777E-01
      2800,-3.901781670E-02, 5.897696999E-01,-3.901781642E-02, 4.015419951E+03, 2.554129686E+03, 5.718145363E+00, 1.319387303E+01, 1.058477079E+01,-7.970914436E+00,-6.884397880E+00,-2.683572132E-01
      2801,-3.601046376E-02, 5.562202001E-01,-3.601046360E-02, 2.928098322E+03, 2.610134621E+03, 9.976357361E+00, 9.225086850E+00, 1.016316505E+01,-9.060299997E+00,-2.157911525E+00,-3.694668931E+00
      2802,-3.601046376E-02, 5.494000000E-01,-3.601046360E-02, 1.963197124E+03, 2.200265209E+03, 1.129684908E+01, 8.155913620E+00, 1.010639656E+01,-9.065165995E+00,-7.196007479E-01,-4.177434278E+00
      2803,-3.601046376E-02, 5.636165146E-01,-3.601046360E-02, 3.963369531E+03, 2.948314983E+03, 8.558345149E+00, 1.040791531E+01, 1.022878306E+01,-8.938280140E+00,-3.679024066E+00,-2.823841501E+00
      2804,-3.601046376E-02, 5.716376088E-01,-3.601046360E-02, 4.796500637E+03, 3.099684058E+03, 7.277722401E+00, 1.153243149E+01, 1.039722944E+01,-8.768727788E+00,-5.048938316E+00,-1.681316950E+00
      2805,-3.601046376E-02, 5.803362591E-01,-3.601046360E-02, 5.076159733E+03, 3.025337641E+03, 6.341790421E+00, 1.241738187E+01, 1.054069378E+01,-8.469079421E+00,-6.068270081E+00,-6.903681295E-01
      2806,-3.601046376E-02, 5.897696999E-01,-3.601046360E-02, 4.720957042E+03, 2.802167420E+03, 5.811919438E+00, 1.294927032E+01, 1.034424522E+01,-7.871036696E+00,-6.609783022E+00,-1.779273373E-01
      2807,-3.253361841E-02, 5.562202001E-01,-3.253361853E-02, 3.015113245E+03, 2.642183110E+03, 1.045570898E+01, 8.737293998E+00, 9.517908684E+00,-8.655790248E+00,-1.312978355E+00,-3.149898780E+00
      2808,-3.253361841E-02, 5.494000000E-01,-3.253361853E-02, 1.926316966E+03, 2.158174950E+03, 1.176170847E+01, 7.719422006E+00, 9.583993165E+00,-8.770922248E+00, 1.514134865E-01,-3.459124432E+00
      2809,-3.253361841E-02, 5.636165146E-01,-3.253361853E-02, 4.292174621E+03, 3.087591381E+03, 9.013843722E+00, 9.884098375E+00, 9.475624555E+00,-8.424695183E+00,-2.861489241E+00,-2.488171220E+00
      2810,-3.253361841E-02, 5.716376088E-01,-3.253361853E-02, 5.459717489E+03, 3.355546858E+03, 7.663383934E+00, 1.100615543E+01, 9.616866865E+00,-8.214599009E+00,-4.302855331E+00,-1.544827334E+00
      2811,-3.253361841E-02, 5.803362591E-01,-3.253361853E-02, 6.010353398E+03, 3.362603177E+03, 6.619869469E+00, 1.194192980E+01, 9.867780470E+00,-7.991329964E+00,-5.467485156E+00,-6.568135968E-01
      2812,-3.253361841E-02, 5.897696999E-01,-3.253361853E-02, 5.714231365E+03, 3.148120396E+03, 5.973047916E+00, 1.257948603E+01, 9.890735766E+00,-7.557989569E+00,-6.204793533E+00,-9.919663760E-02
      2813,-1.034027052E-01, 5.562201835E-01,-1.034027051E-01, 3.850098751E+02, 1.719548057E+03, 7.899523430E+00, 1.067699495E+01, 6.526065330E+00,-5.028752479E+00,-3.740726572E+00,-1.627601127E+00
      2814,-1.034027052E-01, 5.493999836E-01,-1.034027051E-01, 4.045513453E+02, 1.719048541E+03, 8.017588212E+00, 1.070643415E+01, 6.933066591E+00,-5.757457667E+00,-3.148513428E+00,-2.019567042E+00
      2815,-1.034027084E-01, 5.636165146E-01,-1.034027081E-01, 3.813204732E+02, 1.717337586E+03, 7.852823990E+00, 1.058547896E+01, 6.519516503E+00,-4.693852581E+00,-4.239617646E+00,-1.448826251E+00
      2816,-1.034027084E-01, 5.716376088E-01,-1.034027081E-01, 4.057612056E+02, 1.714053310E+03, 7.870960163E+00, 1.044810368E+01, 6.784216980E+00,-4.575811271E+00,-4.764325257E+00,-1.445149676E+00
      2817,-1.034027084E-01, 5.803362591E-01,-1.034027081E-01, 4.499125998E+02, 1.710982746E+03, 7.936586580E+00, 1.028983772E+01, 7.319965658E+00,-4.595064355E+00,-5.450542335E+00,-1.570356366E+00
      2818,-1.034027084E-01, 5.897696999E-01,-1.034027081E-01, 5.076264352E+02, 1.708825062E+03, 8.026861387E+00, 1.014048738E+01, 8.243387113E+00,-4.777367507E+00,-6.450297624E+00,-1.778538155E+00
      2819,-2.007937716E-02, 5.494000000E-01,-2.007937716E-02, 1.863266488E+03, 1.953071565E+03, 1.338497790E+01, 6.208477160E+00, 7.817937567E+00,-6.234862422E+00, 4.396727105E+00,-1.053093488E+00
      2820,-2.007937716E-02, 5.562202001E-01,-2.007937716E-02, 3.416892308E+03, 2.701635847E+03, 1.220880278E+01, 6.984553515E+00, 7.010438528E+00,-6.123908373E+00, 2.873747603E+00,-1.109875675E+00
      2821,-2.007937716E-02, 5.636165146E-01,-2.007937716E-02, 5.816163130E+03, 3.592473766E+03, 1.076512646E+01, 7.921793451E+00, 6.090019724E+00,-5.675842329E+00, 1.152292485E+00,-1.044926108E+00
      2822,-2.007937716E-02, 5.716376088E-01,-2.007937716E-02, 8.760232814E+03, 4.441009728E+03, 9.252662419E+00, 8.902928997E+00, 5.504536629E+00,-5.140155574E+00,-6.352309852E-01,-8.909508854E-01
      2823,-2.007937716E-02, 5.803362591E-01,-2.007937716E-02, 1.127213842E+04, 5.024066486E+03, 7.905350300E+00, 9.817759015E+00, 5.563316541E+00,-4.765610245E+00,-2.342399491E+00,-7.223399922E-01
      2824,-2.007937716E-02, 5.897696999E-01,-2.007937716E-02, 1.250748985E+04, 5.196673270E+03, 6.897747851E+00, 1.057920838E+01, 6.032872574E+00,-4.546681615E+00,-3.715667959E+00,-5.314817369E-01
      2825,-2.033654728E-02, 5.562202001E-01,-2.033654754E-02, 3.399713261E+03, 2.698802331E+03, 1.216661971E+01, 7.027487047E+00, 7.039904184E+00,-6.172266422E+00, 2.752134503E+00,-1.151939771E+00
      2826,-2.033654728E-02, 5.494000000E-01,-2.033654754E-02, 1.859159439E+03, 1.956721831E+03, 1.334681248E+01, 6.244938211E+00, 7.822240486E+00,-6.289511286E+00, 4.278261471E+00,-1.097792550E+00
      2827,-2.033654728E-02, 5.636165146E-01,-2.033654754E-02, 5.769819694E+03, 3.578290661E+03, 1.072223882E+01, 7.970352124E+00, 6.150900192E+00,-5.721909491E+00, 1.030134805E+00,-1.079585644E+00
      2828,-2.033654728E-02, 5.716376088E-01,-2.033654754E-02, 8.664837509E+03, 4.411179499E+03, 9.212928305E+00, 8.955904382E+00, 5.593703267E+00,-5.189332260E+00,-7.532203370E-01,-9.119741525E-01
      2829,-2.033654728E-02, 5.803362591E-01,-2.033654754E-02, 1.111478485E+04, 4.977017065E+03, 7.871901853E+00, 9.873494183E+00, 5.668425662E+00,-4.821664846E+00,-2.449680773E+00,-7.256022652E-01
      2830,-2.033654728E-02, 5.897696999E-01,-2.033654754E-02, 1.229385402E+04, 5.135236688E+03, 6.872085302E+00, 1.063542813E+01, 6.138330589E+00,-4.609160788E+00,-3.807224507E+00,-5.185940627E-01
      2831,-2.717434697E-02, 5.494000000E-01,-2.717434697E-02, 1.846684085E+03, 2.068047455E+03, 1.247477634E+01, 7.059915853E+00, 8.534372695E+00,-7.812468352E+00, 1.829831560E+00,-2.315498573E+00
      2832,-2.717434697E-02, 5.562202001E-01,-2.717434697E-02, 3.121874461E+03, 2.665326212E+03, 1.121047586E+01, 7.983866318E+00, 8.232894171E+00,-7.648451385E+00, 3.110620307E-01,-2.256658906E+00
      2833,-2.717434697E-02, 5.636165146E-01,-2.717434697E-02, 4.846534445E+03, 3.292567689E+03, 9.752623985E+00, 9.052224437E+00, 7.941728826E+00,-7.270574624E+00,-1.351719845E+00,-1.934144751E+00
      2834,-2.717434697E-02, 5.716376088E-01,-2.717434697E-02, 6.662720613E+03, 3.782033210E+03, 8.316959095E+00, 1.013252864E+01, 7.929626104E+00,-6.901978659E+00,-2.978334523E+00,-1.349884577E+00
      2835,-2.717434697E-02, 5.803362591E-01,-2.717434697E-02, 7.812236969E+03, 3.979847011E+03, 7.128856056E+00, 1.109182325E+01, 8.231693720E+00,-6.641866268E+00,-4.399114458E+00,-6.775308784E-01
      2836,-2.717434697E-02, 5.897696999E-01,-2.717434697E-02, 7.842858292E+03, 3.848007284E+03, 6.321421402E+00, 1.182495990E+01, 8.520602288E+00,-6.342524659E+00,-5.425731077E+00,-9.053924749E-02
      2837,-2.825490270E-02, 5.494000082E-01,-2.825490264E-02, 1.872653844E+03, 2.091804135E+03, 1.228436832E+01, 7.235018942E+00, 8.772407351E+00,-7.996218220E+00, 1.319713100E+00,-2.554533773E+00
      2838,-2.825490210E-02, 5.562202001E-01,-2.825490265E-02, 3.099778095E+03, 2.659399279E+03, 1.101133342E+01, 8.181458546E+00, 8.531087897E+00,-7.813977572E+00,-1.904030021E-01,-2.436020642E+00
      2839,-2.825490210E-02, 5.636165146E-01,-2.825490265E-02, 4.709838429E+03, 3.239358677E+03, 9.561307299E+00, 9.266760234E+00, 8.302518469E+00,-7.453900895E+00,-1.815552910E+00,-2.032880466E+00
      2840,-2.825490210E-02, 5.716376088E-01,-2.825490265E-02, 6.358870338E+03, 3.672568983E+03, 8.150768123E+00, 1.035481775E+01, 8.325014242E+00,-7.119219141E+00,-3.380482328E+00,-1.362535244E+00
      2841,-2.825490210E-02, 5.803362591E-01,-2.825490265E-02, 7.361760762E+03, 3.824040422E+03, 7.000065989E+00, 1.130800547E+01, 8.615274513E+00,-6.877041771E+00,-4.726951347E+00,-6.287545426E-01
